0
Product-Service Systems (PSS) design: using Design Thinking and Business Analytics to improve PSS design
Five inspiring course (re-)designs
Matters of (meta-)modeling
A Centralized Support Infrastructure (CSI) to Manage CPS Digital Twin, towards the Synchronization between CPSs Deployed on the Shopfloor and Their Digital Representation
The MEMO meta modelling language (MML) and language architecture (No. 43)
Human-in-the-loop cyber-physical production systems control (HiLCP2sC): A multi-objective interactive framework proposal
Special section on cyber-physical and human systems (CPHS)
Human–cyber–physical systems (HCPSs) in the context of new-generation intelligent manufacturing
Valid (Re-)Use of Models-of-the-Physics in Cyber-Physical Systems Using Validity Frames
