;Title
52;"A pattern catalog for augmenting Digital Twin models with behavior; [Ein Musterkatalog zur Erweiterung von digitalen Zwillingsmodellen um Verhaltenssichten]"
62;A Lightweight Model-driven MES Simulation Framework Based On Probabilistic Finite Automata
