source;control;data processing;database;machine learning;other software;simulation software;visualization software
architecture;0;0;0;0;0;0;1
continuous behavior;0;0;0;0;0;5;0
data;0;3;1;2;3;4;3
discrete behavior;4;1;0;1;0;4;0
ontology;1;0;0;0;1;1;0
